,Unnamed: 0,userid,number_of_logins,number_of_assignments,question_gradedright,question_complete,question_todo,question_gradedwrong,question_attempts,number_of_quizs,quiz_max_attempt,quiz_min_attempt,quiz_mean_attempt
10943,10943,12197,147,7,75,71,118,22,288,8.5,3,1,1.4
10952,10952,12206,120,3,110.5,133,134.5,23.5,399.5,8.5,3,1,1.416666668
10959,10959,12213,137,6,80,104,104,20,312,8.5,3,1,1.416666668
10968,10968,12222,234,11,110.5,133,134.5,22,399.5,8.5,2,1,1.1
10975,10975,12229,201,9,102,125,127,22,378,8.5,1,1,1
10977,10977,12231,215,9,110.5,133,134.5,23.5,399.5,8.5,2,1,1.090909091
10986,10986,12240,94,8,100,98,128,23.5,354,8.5,2,1,1.285714286
10990,10990,12244,198,3,92,117,127,22,361,8.5,3.5,1,1.416666668
10996,10996,12250,204,9,61,82,82,19,246,4,1,1,1
10999,10999,12253,135,8,48,57,69,9,183,7,3,1,1.333333333
11000,11000,12254,174,5,110.5,112,134.5,14,390,8.5,2,1,1.090909091
11005,11005,12259,129,1,26,30,30,4,90,1,1,1,1
11012,11012,12266,344,4,56,100,103,23.5,294,8,3,1,1.416666667
11014,11014,12268,63,11,58,60,96,21,236,8,3,1,1.416666668
11017,11017,12271,252,12,42,49,81,23.5,198,8.5,1,1,1
11021,11021,12275,107,2,56,77,72,15,221,7,1,1,1
11024,11024,12278,118,9,53,34,84,5,183,8.5,2,1,1.25
11028,11028,12282,170,12,61,53,73,11,199,8,2,1,1.111111111
11030,11030,12284,295,7,43,60,60,16,180,5,1,1,1
11045,11045,12299,120,8,110.5,133,134.5,23.5,399.5,8.5,3,1,1.416666668
11048,11048,12302,164,11,75,86,86,10,258,8,2,1,1.272727273
11049,11049,12303,118,10,29,34,35,3,103,7,2,1,1.125
11058,11058,12312,215,9,107,133,134.5,23.5,399.5,7,1,1,1
11066,11066,12320,125,2,8,30,40,4,110,2,1,1,1
11090,11090,12344,206,10,50,131,134.5,13,399.5,8,2,1,1.2
11092,11092,12346,127,13,56,133,134.5,21,399.5,8,2,1,1.111111111
11093,11093,12347,227,15,89,133,134.5,23.5,399.5,8.5,2,1,1.181818182
11096,11096,12350,126,12,0,4,2,0,8,2,1,1,1
11107,11107,12361,104,2,65,74,70,5,214,3,1,1,1
11109,11109,12363,134,4,70,80,80,10,240,4,1,1,1
11114,11114,12368,140,4,9,32,28,1,88,8,1,1,1
11120,11120,12374,102,3,2,10,10,8,30,3,1,1,1
11122,11122,12376,106,2,6,10,10,4,30,3,1,1,1
11124,11124,12378,73,4,43,52,50,5,152,1,2,1,1.416666668
11127,11127,12381,172,4,8,30,29,2,86,8.5,1,1,1
11128,11128,12382,106,3,9,36,29,1,94,8.5,1,1,1
11129,11129,12383,26,1,42,50,50,6,150,1,2,1,1.416666668
11131,11131,12385,161,4,6,10,10,4,30,3,1,1,1
11132,11132,12386,85,5,8,34,28,2,89,8,1,1,1
11133,11133,12387,102,5,8,37,28,2,93,8,1,1,1
11134,11134,12388,163,5,8,34,29,2,92,8.5,1,1,1
11136,11136,12390,156,6,8,42,28,2,98,8,1,1,1
11137,11137,12391,77,6,3,17,17,1,51,1,1,1,1
11140,11140,12394,128,2,20,32,27,7,86,5,1,1,1
11144,11144,12398,77,6,3,17,17,1,51,1,1,1,1
11145,11145,12399,311,5,5,32,29,4,90,8.5,1,1,1
11153,11153,12407,204,20.5,110.5,133,134.5,23.5,399.5,7,1,1,1
11155,11155,12409,79,2,39,44,40,1,124,1,2,1,1.416666668
11156,11156,12410,160,2,31,41,40,9,121,1,2,1,1.416666668
11158,11158,12412,113,13,29,40,38,6,113,3,1,1,1
11159,11159,12413,348,4,22,27,25,2,77,4,1,1,1
11160,11160,12414,43,5,20,21,21,0,63,2,1,1,1
11164,11164,12418,79,8,36,42,41,3,124,2,2,1,1.333333333
11167,11167,12421,369,10,7,8,8,0,24,2,1,1,1
11168,11168,12422,201,10,30,41,38,7,117,3,1,1,1
11170,11170,12424,171,12,83,99,99,16,297,8.5,1,1,1
11171,11171,12425,183,7,20,20,20,0,60,1,1,1,1
11190,11190,12444,129,6,20,21,21,0,63,2,1,1,1
11192,11192,12446,72,6,20,21,21,0,63,2,1,1,1
11193,11193,12447,182,8,38,44,41,2,126,2,2,1,1.333333333
11195,11195,12449,79,7,33,41,41,5,125,2,2,1,1.333333333
11196,11196,12450,133,6,34,42,41,6,124,2,2,1,1.333333333
11197,11197,12451,96,4,20,21,21,0,63,2,1,1,1
11201,11201,12455,69,5,18,21,21,1,63,2,1,1,1
11202,11202,12456,98,7,19,22,21,1,64,2,1,1,1
11203,11203,12457,112,5,31,41,41,7,123,2,2,1,1.333333333
11206,11206,12460,91,5,19,22,21,0,64,2,1,1,1
11211,11211,12465,81,5,3,17,17,1,51,1,1,1,1
11218,11218,12472,118,20.5,58,70,67,9,204,8.5,1,1,1
11223,11223,12477,230,20.5,110.5,133,134.5,22,399.5,7,1,1,1
11230,11230,12484,216,3,106,133,134.5,14,399.5,6,2,1,1.142857143
11234,11234,12488,309,2,72,101,99,17,299,5,1,1,1
11235,11235,12489,126,3,74,102,99,15,300,5,1,1,1
11236,11236,12490,333,5,88,126,124,21,374,6,1,1,1
11237,11237,12491,202,1,99,133,134.5,23.5,399.5,6,2,1,1.142857143
11238,11238,12492,153,3,62,100,99,23,298,5,1,1,1
11239,11239,12493,133,3,64,96,99,18,294,5,1,1,1
11240,11240,12494,225,5,69,106,99,20,304,5,1,1,1
11241,11241,12495,366,9,108,133,134.5,20,399.5,5,2,1,1.166666667
11242,11242,12496,251,3,105,133,134.5,18,399.5,5,2,1,1.166666667
11244,11244,12498,296,5,102,133,134.5,23.5,399.5,5,2,1,1.166666667
11245,11245,12499,143,5,74,117,119,23.5,355,6,1,1,1
11247,11247,12501,214,2,102,133,134.5,22,399.5,5,2,1,1.166666667
11248,11248,12502,218,4,71,105,99,18,303,5,1,1,1
11249,11249,12503,259,5,68,104,99,21,302,5,1,1,1
11251,11251,12505,323,6,110.5,133,134.5,23.5,399.5,6,2,1,1.142857143
11252,11252,12506,223,4,71,101,99,17,299,5,1,1,1
11253,11253,12507,356,15,0,15,13,0,41,3,1,1,1
11254,11254,12508,167,11,0,29,18,0,65,5,1,1,1
11255,11255,12509,139,12,0,21,13,0,47,3,1,1,1
11256,11256,12510,307,11,97,110,114,7,333,6,2,1,1.25
11257,11257,12511,143,8,0,42,18,0,78,5,1,1,1
11258,11258,12512,189,15,0,19,18,0,55,5,1,1,1
11259,11259,12513,233,10,69,95,92,4,279,7,2,1,1.222222222
11260,11260,12514,213,8,22,47,39,2,125,6,2,1,1.142857143
11261,11261,12515,258,13,25,45,38,0,121,4,1,1,1
11262,11262,12516,125,7,102,133,127,8,392,6,2,1,1.333333333
11263,11263,12517,130,17,22,19,58,17,134,7,2,1,1.125
11265,11265,12519,188,11,67,93,87,5,268,5,2,1,1.285714286
11266,11266,12520,178,5,47,78,73,2,224,6,2,1,1.25
11267,11267,12521,103,8,22,46,39,2,124,6,2,1,1.142857143
11268,11268,12522,252,7,59,86,80,1,246,7,2,1,1.125
11269,11269,12523,430,10,33,72,68,17,208,7,1,1,1
11270,11270,12524,194,20.5,20,21,21,0,63,2,1,1,1
11271,11271,12525,77,20,0,1,1,0,3,1,1,1,1
11272,11272,12526,18,1,0,1,1,0,3,1,1,1,1
11273,11273,12527,37,19,0,1,1,0,3,1,1,1,1
11275,11275,12529,81,18,31,40,40,9,120,1,1,1,1
11278,11278,12532,72,20,0,1,1,0,3,1,1,1,1
11279,11279,12533,114,20.5,6,1,43,23.5,78,3,2,1,1.25
11280,11280,12534,70,17,35,42,40,5,124,1,2,1,1.416666668
11282,11282,12536,29,1,18,23,21,2,65,2,1,1,1
11283,11283,12537,32,1,20,21,21,0,63,2,1,1,1
11287,11287,12541,141,3,48,52,50,0,152,1,2,1,1.416666668
11288,11288,12542,142,2,57,60,60,3,180,3,1,1,1
11289,11289,12543,242,12,55,60,60,5,180,3,1,1,1
11312,11312,12566,29,1,0,9,9,5,27,1,1,1,1
11313,11313,12567,48,1,0,9,9,5,27,1,1,1,1
11318,11318,12572,60,2,0,9,9,5,27,1,1,1,1
11323,11323,12577,28,1,0,7,9,5,25,1,1,1,1
11324,11324,12578,127,3,9,30,29,12,88,6,1,1,1
11325,11325,12579,95,1,0,9,9,5,27,1,1,1,1
11327,11327,12581,130,3,7,33,29,3,91,8.5,1,1,1
11328,11328,12582,185,5,3,40,32,11,104,4,1,1,1
11329,11329,12583,41,2,0,1,3,0,6,2,1,1,1
11334,11334,12588,165,14,25,42,40,15,122,1,1,1,1
11335,11335,12589,116,16,63,79,80,16,239,4,1,1,1
11336,11336,12590,267,20.5,87,103,91,3,285,4,1,1,1
11338,11338,12592,61,4,65,77,80,12,237,4,1,1,1
11339,11339,12593,121,14,88,99,100,11,299,5,1,1,1
11340,11340,12594,86,6,13,30,30,17,90,1,1,1,1
11347,11347,12601,394,20.5,110.5,133,134.5,20,399.5,8,1,1,1
11351,11351,12605,184,4,28,43,42,12,127,2,1,1,1
11355,11355,12609,115,12,18,20,20,2,60,1,2,1,1.416666668
11356,11356,12610,126,14,0,3,3,0,9,1,1,1,1
11358,11358,12612,58,5,67,70,70,3,210,3,1,1,1
11359,11359,12613,144,7,7,8,8,0,24,2,1,1,1
11360,11360,12614,132,9,35,38,38,2,114,3,1,1,1
11363,11363,12617,150,12,7,24,20,13,64,4,1,1,1
11365,11365,12619,398,14,10,29,20,10,69,4,1,1,1
11366,11366,12620,260,4,16,32,32,7,89,4,2,1,1.2
11368,11368,12622,196,18,11,20,19,8,58,3,1,1,1
11369,11369,12623,198,19,92,103,115,9,321,7,3,1,1.416666668
11371,11371,12625,252,10,74,79,80,5,239,4,1,1,1
11373,11373,12627,361,3,20,28,25,4,78,4,1,1,1
11374,11374,12628,168,18,110.5,133,134.5,10,399.5,6,2,1,1.142857143
11379,11379,12633,126,19,36,43,43,6,129,3,1,1,1
11381,11381,12635,129,17,107,126,134,13,382,8.5,2,1,1.333333333
11386,11386,12640,153,7,49,56,56,6,168,5,2,1,1.166666667
11388,11388,12642,139,20,110.5,129,129,12,387,8.5,2,1,1.166666667
11390,11390,12644,120,12,48,65,65,17,195,6,1,1,1
11393,11393,12647,188,15,110.5,133,134.5,11,399.5,8.5,2,1,1.090909091
11395,11395,12649,148,15,102,120,118,13,356,8.5,2,1,1.375
11396,11396,12650,204,17,62,68,68,2,204,7,2,1,1.125
11400,11400,12654,95,16,37,45,45,6,135,5,1,1,1
11404,11404,12658,200,15,65,76,76,11,228,4,2,1,1.2
11405,11405,12659,137,13,41,57,57,15,171,5,2,1,1.166666667
11406,11406,12660,191,20.5,45,47,48,1,143,7,1,1,1
11407,11407,12661,87,14,50,53,53,3,159,7,1,1,1
11409,11409,12663,285,10,19,30,42,11,102,2,1,1,1
11415,11415,12669,406,19,78,82,81,2,244,8.5,2,1,1.181818182
11417,11417,12671,232,20.5,53,58,59,5,175,8,2,1,1.111111111
11418,11418,12672,168,9,33,42,42,9,126,2,1,1,1
11421,11421,12675,129,12,13,22,22,9,66,2,1,1,1
11422,11422,12676,295,17,73,76,76,3,228,8.5,1,1,1
11426,11426,12680,155,16,91,98,97,6,292,7,1,1,1
11428,11428,12682,158,19,102,127,122,18,371,8.5,2,1,1.307692308
11429,11429,12683,190,20.5,41,48,49,5,145,7,2,1,1.125
11430,11430,12684,59,5,20,36,29,9,94,2,1,1,1
11431,11431,12685,168,7,35,37,37,1,111,2,1,1,1
11438,11438,12692,141,15,10,22,22,9,66,4,1,1,1
11439,11439,12693,175,8,29,45,42,7,129,2,2,1,1.333333333
11442,11442,12696,89,8,24,30,30,6,90,1,1,1,1
11443,11443,12697,286,17,47,70,64,16,198,7,1,1,1
11447,11447,12701,350,15,23,54,49,23.5,152,4,1,1,1
11448,11448,12702,288,13,29,52,49,18,150,4,1,1,1
11449,11449,12703,287,13,9,16,15,5,45,2,1,1,1
11451,11451,12705,133,12,90,99,110,7,307,8.5,1,1,1
11452,11452,12706,170,7,1,1,1,0,3,1,1,1,1
11456,11456,12710,167,11,7,22,19,12,60,3,1,1,1
11457,11457,12711,225,15,0,3,3,0,9,1,1,1,1
11458,11458,12712,155,1,0,3,6,0,12,1,2,1,1.416666668
11459,11459,12713,305,10,19,21,20,1,61,1,1,1,1
11460,11460,12714,68,8,0,2,1,1,4,1,1,1,1
11461,11461,12715,239,9,34,39,37,2,112,4,1,1,1
11462,11462,12716,129,7,90,90,90,0,270,4,1,1,1
11463,11463,12717,200,8,23,32,31,8,94,2,1,1,1
11464,11464,12718,212,8,20,20,20,0,60,1,1,1,1
11465,11465,12719,153,8,0,1,1,1,3,1,1,1,1
11466,11466,12720,150,13,89,97,97,7,291,7,1,1,1
11468,11468,12722,246,8,0,1,1,1,3,1,1,1,1
11469,11469,12723,308,14,25,33,30,5,93,1,1,1,1
11470,11470,12724,339,9,38,41,41,3,123,2,2,1,1.333333333
11471,11471,12725,242,6,0,1,1,1,3,1,1,1,1
11472,11472,12726,181,10,24,30,30,6,90,1,1,1,1
11473,11473,12727,251,9,20,20,20,0,60,1,1,1,1
11474,11474,12728,165,13,26,34,30,4,94,1,1,1,1
11475,11475,12729,282,14,6,20,22,11,64,4,1,1,1
11476,11476,12730,207,15,10,25,20,10,65,4,1,1,1
11477,11477,12731,195,13,10,29,19,9,67,3,1,1,1
11478,11478,12732,178,14,9,22,20,10,62,4,1,1,1
11479,11479,12733,337,12,6,28,20,13,68,4,1,1,1
11480,11480,12734,165,15,11,21,20,9,61,4,1,1,1
11482,11482,12736,226,12,6,22,19,12,60,3,1,1,1
11483,11483,12737,158,6,11,26,23,8,71,4,1,1,1
11485,11485,12739,102,15,0,3,3,0,9,1,1,1,1
11486,11486,12740,97,16,11,28,22,7,73,4,1,1,1
11487,11487,12741,121,14,51,63,63,9,189,4,1,1,1
11488,11488,12742,198,14,9,23,22,9,67,4,1,1,1
11489,11489,12743,145,12,47,53,53,2,159,2,2,1,1.333333333
11491,11491,12745,182,7,43,50,50,6,150,1,2,1,1.416666668
11492,11492,12746,105,14,0,6,3,0,12,1,1,1,1
11493,11493,12747,71,2,25,35,28,0,91,2,1,1,1
11494,11494,12748,153,8,0,3,3,0,9,1,1,1,1
11495,11495,12749,135,2,0,3,3,0,9,1,1,1,1
11496,11496,12750,131,2,0,3,3,0,9,1,1,1,1
11497,11497,12751,159,3,0,3,3,0,9,1,1,1,1
11498,11498,12752,217,12,8,19,22,8,64,4,1,1,1
11499,11499,12753,119,16,0,3,3,0,9,1,1,1,1
11500,11500,12754,195,2,0,3,3,0,9,1,1,1,1
11504,11504,12758,72,3,49,50,50,0,150,1,2,1,1.416666668
11505,11505,12759,202,2,68,80,80,12,240,4,1,1,1
11506,11506,12760,322,4,49,50,50,0,150,1,2,1,1.416666668
11507,11507,12761,226,2,48,51,50,1,151,1,2,1,1.416666668
11508,11508,12762,430,3,47,51,50,2,151,1,2,1,1.416666668
11509,11509,12763,94,2,45,50,50,3,150,1,2,1,1.416666668
11512,11512,12766,144,3,0,26,17,0,60,6,1,1,1
11513,11513,12767,150,11,21,29,29,3,87,7,1,1,1
11525,11525,12779,261,19,0,3,3,0,9,1,1,1,1
11531,11531,12785,118,15,49,56,53,0,162,2,2,1,1.333333333
11532,11532,12786,209,13,48,53,53,1,159,2,2,1,1.333333333
11533,11533,12787,187,12,48,57,53,1,164,2,2,1,1.333333333
11542,11542,12796,200,5,41,48,45,2,140,4,1,1,1
11545,11545,12799,133,9,27,46,52,15,146,4,3,1,1.416666668
11546,11546,12800,74,14,12,14,14,2,42,1,1,1,1
11548,11548,12802,122,11,54,68,68,5,203,5,1,1,1
11549,11549,12803,219,10,82,107,131,18,365,5,2,1,1.285714286
11551,11551,12805,101,16,52,60,60,8,180,1,1,1,1
11552,11552,12806,140,11,37,47,50,3,144,5,2,1,1.166666667
11553,11553,12807,298,14,24,32,43,6,112,4,1,1,1
11554,11554,12808,130,13,39,51,53,1,153,5,2,1,1.166666667
11555,11555,12809,142,11,33,54,50,9,153,5,3,1,1.416666668
11556,11556,12810,100,20.5,23,30,30,7,90,1,1,1,1
11557,11557,12811,116,17,46,62,60,14,182,1,1,1,1
11558,11558,12812,105,16,51,63,69,9,198,4,1,1,1
11559,11559,12813,181,14,28,40,40,2,117,5,1,1,1
11560,11560,12814,151,16,46,69,70,14,206,5,1,1,1
11562,11562,12816,236,17,44,67,69,15,203,5,1,1,1
11564,11564,12818,148,19,61,81,80,19,241,2,2,1,1.333333333
11565,11565,12819,172,20,60,81,80,20,241,2,2,1,1.333333333
11567,11567,12821,171,8,16,28,27,4,82,5,2,1,1.166666667
11568,11568,12822,151,14,0,6,6,0,18,3,1,1,1
11569,11569,12823,73,16,9,10,10,1,30,1,1,1,1
11574,11574,12828,110,13,88,97,115,5,321,5,3,1,1.416666668
11575,11575,12829,177,20.5,54,60,60,6,180,1,1,1,1
11577,11577,12831,90,15,9,10,10,1,30,1,1,1,1
11580,11580,12834,140,20.5,69,70,70,1,210,2,1,1,1
11582,11582,12836,83,20.5,62,80,80,17,240,2,2,1,1.333333333
11584,11584,12838,144,13,10,12,10,0,32,1,1,1,1
11585,11585,12839,66,13,56,60,60,3,180,1,1,1,1
11588,11588,12842,140,4,1,3,7,0,14,4,1,1,1
11589,11589,12843,26,2,1,1,1,0,3,1,1,1,1
11591,11591,12845,22,1,1,1,1,0,3,1,1,1,1
11592,11592,12846,44,2,1,1,1,0,3,1,1,1,1
11593,11593,12847,62,8,10,11,10,0,31,1,1,1,1
11606,11606,12860,97,3,15,30,30,15,90,1,1,1,1
11642,11642,12897,370,13,18,24,24,6,72,2,1,1,1
11644,11644,12899,349,14,21,25,24,3,73,2,1,1,1
11645,11645,12900,273,14,18,24,24,6,72,2,1,1,1
11646,11646,12901,430,11,20,24,24,4,72,2,1,1,1
11647,11647,12902,183,13,23,24,24,1,72,2,1,1,1
11648,11648,12903,90,8,55,73,74,18,221,4,1,1,1
11649,11649,12904,193,11,24,24,24,0,72,2,1,1,1
11651,11651,12906,310,15,14,16,16,2,48,1,1,1,1
11652,11652,12907,362,15,8,15,16,7,47,1,1,1,1
11653,11653,12908,146,14,14,16,16,2,48,1,1,1,1
11654,11654,12909,176,12,23,24,24,1,72,2,1,1,1
11655,11655,12910,118,13,19,25,24,5,73,2,1,1,1
11656,11656,12911,286,16,22,24,24,2,72,2,1,1,1
11657,11657,12912,174,8,17,24,24,7,72,2,1,1,1
11658,11658,12913,124,14,20,24,24,4,72,2,1,1,1
11660,11660,12915,177,12,24,24,24,0,72,2,1,1,1
11661,11661,12916,369,8,8,23,25,0,73,7,1,1,1
11662,11662,12917,159,3,6,28,29,4,86,8.5,1,1,1
11664,11664,12919,97,8,1,27,27,4,81,8,1,1,1
11671,11671,12926,39,4,15,20,20,5,60,1,1,1,1
11675,11675,12930,101,3,5,10,10,5,30,3,1,1,1
11679,11679,12934,73,2,21,32,30,9,92,1,1,1,1
11680,11680,12935,51,1,14,17,17,3,51,2,1,1,1
11681,11681,12936,119,2,25,30,30,5,90,1,1,1,1
11683,11683,12938,204,7,15,17,17,2,51,2,1,1,1
11685,11685,12940,174,4,7,8,8,0,24,2,1,1,1
11690,11690,12945,185,20,7,39,36,23.5,111,4,1,1,1
11691,11691,12946,34,1,33,52,50,17,152,2,1,1,1
11692,11692,12947,52,1,34,52,51,15,154,3,1,1,1
11693,11693,12948,245,4,29,55,50,21,155,2,1,1,1
11696,11696,12951,208,7,46,50,50,3,150,1,2,1,1.416666668
11698,11698,12953,98,8,7,10,10,3,30,1,1,1,1
11700,11700,12955,36,1,7,8,8,0,24,2,1,1,1
11701,11701,12956,131,4,18,28,27,9,82,5,1,1,1
11703,11703,12958,103,5,16,18,18,1,54,5,1,1,1
11704,11704,12959,162,5,7,10,10,3,30,3,1,1,1
11705,11705,12960,100,2,9,10,10,0,30,3,1,1,1
11706,11706,12961,375,4,55,60,60,4,180,4,2,1,1.2
11707,11707,12962,96,4,4,10,10,6,30,3,1,1,1
11708,11708,12963,140,6,9,10,10,1,30,3,1,1,1
11709,11709,12964,155,3,6,9,9,3,27,2,1,1,1
11711,11711,12966,161,5,17,20,20,3,60,1,1,1,1
11712,11712,12967,116,3,6,10,10,4,30,3,1,1,1
11716,11716,12971,100,20.5,17,23,32,3,85,3,1,1,1
11723,11723,12978,151,6,9,10,10,0,30,3,1,1,1
11724,11724,12979,359,2,76,83,80,3,243,2,2,1,1.333333333
11726,11726,12981,317,9,15,18,18,1,54,5,1,1,1
11733,11733,12988,163,14,55,77,75,18,227,4,2,1,1.2
11734,11734,12989,89,3,49,56,50,0,156,1,2,1,1.416666668
11736,11736,12991,173,4,17,26,26,9,78,4,1,1,1
11737,11737,12992,66,1,14,17,30,6,67,3,1,1,1
11738,11738,12993,192,3,4,9,9,5,27,2,1,1,1
11739,11739,12994,126,3,23,29,27,4,83,5,1,1,1
11751,11751,13006,84,1,19,38,37,18,112,4,1,1,1
11753,11753,13008,154,12,32,70,65,8,200,7,1,1,1
11754,11754,13009,221,10,0,9,5,0,19,1,1,1,1
11773,11773,13028,130,3,29,42,35,5,112,4,1,1,1
11775,11775,13030,132,4,70,71,70,0,211,3,1,1,1
11783,11783,13038,98,3,32,41,36,4,113,2,2,1,1.333333333
11786,11786,13041,199,7,110.5,133,134.5,12,399.5,8.5,2,1,1.166666667
11817,11817,13072,103,8,94,109,117,10,330,8,1,1,1
11828,11828,13083,109,4,73,85,102,23.5,287,3,2,1,1.25
11832,11832,13087,127,5,78,102,98,19,298,6,1,1,1
11837,11837,13092,154,4,110.5,133,134.5,20,399.5,8.5,1,1,1
11841,11841,13096,135,7,110.5,133,134.5,19,399.5,8,2,1,1.333333333
11842,11842,13097,141,6,74,77,77,3,231,8.5,1,1,1
11848,11848,13103,166,10,100,118,120,15,359,8.5,3,1,1.333333333
11855,11855,13110,130,7,110.5,133,134.5,23.5,399.5,6,3,1,1.375
11870,11870,13125,104,2,38,40,62,22,162,2,2,1,1.333333333
11875,11875,13130,186,2,20,20,20,0,60,1,1,1,1
11887,11887,13142,108,5,96,79,133,23.5,333,6,3,1,1.416666668
11893,11893,13148,395,3,19,21,20,1,61,1,1,1,1
11894,11894,13149,90,5,31,20,53,19,123,3,1,1,1
11896,11896,13151,107,1,64,54,73,8,200,5,2,1,1.166666667
11909,11909,13164,168,13,84,65,95,8,254,8.5,2,1,1.166666667
11911,11911,13166,194,9,110.5,113,134.5,22,399.5,8.5,2,1,1.375
11917,11917,13172,74,3,93,107,125,21,355,8.5,2,1,1.230769231
11922,11922,13177,280,12,110.5,133,134.5,17,399.5,8.5,1,1,1
11928,11928,13183,207,15,101,90,124,18,338,8.5,2,1,1.333333333
11930,11930,13185,163,5,75,50,89,14,228,4,2,1,1.333333333
11933,11933,13188,176,6,40,20,51,10,121,3,1,1,1
11948,11948,13203,167,1,49,29,68,10,156,4,2,1,1.2
11950,11950,13205,153,9,110.5,121,134.5,22,399.5,8.5,3,1,1.333333333
11952,11952,13207,257,1,20,20,20,0,60,1,1,1,1
11954,11954,13209,274,9,103,110,111,7,332,8.5,2,1,1.285714286
11963,11963,13218,107,2,20,23,21,0,65,2,1,1,1
11967,11967,13222,120,6,38,21,61,15,144,4,2,1,1.2
11968,11968,13223,110,9,94,72,112,9,288,8.5,2,1,1.1
11969,11969,13224,300,9,98,109,108,9,325,8.5,2,1,1.181818182
11973,11973,13228,89,1,20,21,21,0,63,2,1,1,1
11977,11977,13232,310,6,20,20,20,0,60,1,1,1,1
11980,11980,13235,103,1,52,55,53,1,161,5,1,1,1
11984,11984,13239,118,2,71,95,85,12,265,8,1,1,1
11985,11985,13240,168,8,58,92,87,23.5,266,7,3,1,1.416666668
11986,11986,13241,141,4,106,126,127,17,379,8.5,3,1,1.416666668
11988,11988,13243,175,8,82,94,94,8,281,8.5,3,1,1.357142857
11990,11990,13245,139,8,110.5,131,130,9,390,8.5,2,1,1.181818182
11994,11994,13249,138,8,60,74,72,11,218,7,2,1,1.125
11999,11999,13254,145,10,110.5,133,134.5,23.5,399.5,8.5,3,1,1.384615385
12013,12013,13268,89,4,3,3,3,0,9,1,1,1,1
12017,12017,13272,20,2,0,3,3,0,8,2,1,1,1
12018,12018,13273,76,14,0,1,1,0,2,1,1,1,1
12021,12021,13276,94,1,47,51,51,3,153,3,1,1,1
12026,12026,13281,120,2,5,9,9,4,27,1,1,1,1
12027,12027,13282,101,4,22,39,39,17,117,2,1,1,1
12030,12030,13285,74,3,35,48,40,5,128,1,1,1,1
12031,12031,13286,41,2,47,53,51,3,155,3,1,1,1
12032,12032,13287,175,10,35,40,40,5,120,1,1,1,1
12033,12033,13288,92,1,64,95,90,23.5,275,3,1,1,1
12037,12037,13292,67,3,35,40,40,5,120,1,1,1,1
12040,12040,13295,244,20.5,53,85,85,23.5,255,2,1,1,1
12041,12041,13296,165,20.5,2,2,2,0,6,1,1,1,1
12042,12042,13297,329,20.5,63,76,86,12,239,5,2,1,1.285714286
12044,12044,13299,171,17,22,30,30,8,90,1,1,1,1
12045,12045,13300,397,20.5,1,2,2,1,6,1,1,1,1
12048,12048,13303,208,20,75,88,86,9,260,5,2,1,1.285714286
12049,12049,13304,112,10,22,41,38,16,117,1,1,1,1
12050,12050,13305,111,10,23,31,30,7,91,1,1,1,1
12051,12051,13306,271,19,75,86,86,9,258,5,2,1,1.285714286
12052,12052,13307,184,12,91,110,110,19,330,5,1,1,1
12054,12054,13309,155,9,34,46,47,9,140,3,2,1,1.4
12055,12055,13310,200,16,24,33,30,6,93,1,1,1,1
12058,12058,13313,201,20,71,86,86,12,258,5,2,1,1.285714286
12060,12060,13315,130,13,24,39,38,14,115,1,1,1,1
12062,12062,13317,103,20,26,31,30,4,91,1,1,1,1
12063,12063,13318,103,10,51,63,60,9,183,2,1,1,1
12067,12067,13322,210,17,64,77,77,10,231,4,2,1,1.333333333
12068,12068,13323,224,20.5,97,122,122,23,366,6,2,1,1.25
12069,12069,13324,97,10,3,4,4,1,12,1,2,1,1.416666668
12070,12070,13325,145,12,12,30,30,18,90,1,1,1,1
12071,12071,13326,187,16,39,68,65,23,198,4,2,1,1.2
12072,12072,13327,162,18,69,94,87,16,268,4,2,1,1.333333333
12074,12074,13329,163,7,101,126,125,19,375,8.5,1,1,1
12075,12075,13330,118,1,5,5,5,0,15,1,1,1,1
12088,12088,13343,163,17,0,17,9,0,34,2,1,1,1
12089,12089,13344,105,11,15,20,20,5,60,1,1,1,1
12091,12091,13346,90,7,0,1,1,0,3,1,1,1,1
12096,12096,13351,257,9,74,99,93,18,285,5,1,1,1
12097,12097,13352,245,17,37,43,42,5,127,2,1,1,1
12098,12098,13353,112,7,75,91,91,15,273,4,1,1,1
12099,12099,13354,164,18,41,46,42,1,130,2,1,1,1
12100,12100,13355,223,20.5,2,2,9,0,13,2,1,1,1
12101,12101,13356,164,6,40,43,40,0,123,1,1,1,1
12102,12102,13357,89,10,110.5,127,121,7,369,5,1,1,1
12103,12103,13358,98,11,40,40,40,0,120,1,1,1,1
12118,12118,13378,106,15,17,30,30,13,90,1,1,1,1
12119,12119,13379,206,10,24,31,30,6,91,1,1,1,1
12120,12120,13380,91,8,25,42,39,14,120,2,1,1,1
12122,12122,13382,158,4,11,46,64,10,134,4,2,1,1.2
12123,12123,13383,180,18,22,30,30,8,90,1,1,1,1
12124,12124,13384,223,17,2,2,2,0,6,1,1,1,1
12126,12126,13386,128,10,77,112,96,6,301,8,1,1,1
12127,12127,13387,188,8,31,48,47,16,142,4,1,1,1
12130,12130,13391,203,8,30,33,32,0,97,6,1,1,1
12131,12131,13392,308,20.5,48,58,58,8,174,4,1,1,1
12133,12133,13394,207,12,0,16,6,0,27,2,1,1,1
